,0
17,"b'if' b'you' b'hold' b'open' b'a' b'door' b'for' b'a' b'woman' b'because' b""she's"" b'a' b'woman' b'and' b'not' b'because' b""it's"" b'a' b'nice' b'thing' b'to' b'do,' b""that's"" b'.' b""don't"" b'even' b'try' b'to' b'deny'"
18,"b'user' b'this' b'man' b'ran' b'for' b'governor' b'of' b'ny,' b'the' b'state' b'with' b'the' b'biggest' b'african-american'"
19,b'#stereotyping' b'#prejudice' b'offer' b'no' b'#hope' b'or' b'solutions' b'but' b'create' b'the' b'same' b'old'
20,b'how' b'many#pols' b'passed' b'by' b'how' b'many' b'times' b'and' b'said'
21,b'7' b'horribly' b'ads' b'from' b'#2016' b'that' b'made' b'us'
22,"b'user' b'""the' b'dying' b'of' b'the' b'light""' b'village'"
23,"b'user' b'you' b'never' b'answered' b'me' b'about' b'your' b'statement' b'on' b'the' b""#nazi's"" b'over' b'#hatred,' b'&amp;' b'#bigotry' b'being' b'found'"
24,b'you' b'might' b'be' b'a' b'libtard'
25,b'trump' b'ny' b'co-chair' b'makes' b'racist' b'remarks' b'about' b'michelle'
26,"b'user' b'the' b'pic' b'says' b'otherwise' b'for' b'young' b'girls' b'confined' b'in' b'that' b'kitchen.' b'you' b'are' b'void' b'of' b'meaning,' b'beyond' b'cheap'"
27,"b'user' b'when' b""you're"" b'blocked' b'by' b'a' b'troll' b'because' b'you' b'promise' b'to' b'#blacklivesmatter' b'&amp;' b'let' b'his' b'nonsensical' b'rants'"
28,b'why' b'the' b'nazis' b'studied' b'american' b'race' b'laws' b'for' b'inspiration'
29,b'user' b'#biherism' b'absolutely' b'originated' b'in' b'hateful' b'#bigotry' b'#altright' b'hatred' b'of' b'our' b'african'
30,b'fo' b'woh' b'officer' b'in' b'viral' b'arrest' b'video' b'was' b'\xc3\xa2\xc2\x80\xc2\x98rude' b'not' b'racist\xc3\xa2\xc2\x80\xc2\x99:'
31,"b'discussing' b'republicans' b'is' b'the' b'same' b'thing' b'as' b'critiquing' b'.' b'we' b""can't"" b'ignore' b'the'"
32,b'are' b'you' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
33,b'user' b'#allahsoil' b'the' b'more' b'familiar' b'we' b'become' b'the' b'more' b'difficult' b'it' b'is' b'to' b'stereotype.' b'.' b'\xc3\xa2\xc2\x80\xc2\xa6'
34,b'anti' b'racist' b'is' b'a' b'codeword' b'for' b'antiwhite' b'asia' b'for' b'the' b'asians' b'africa' b'for' b'the' b'africans' b'white' b'countries' b'for'
35,b'user' b'you' b'#praised' b'#cleveland' b'police' b'during' b'#rnc' b'the' b'police' b'are' b'under' b'a' b'consent' b'decree!' b'75%'
36,"b'user' b'that' b""doesn't"" b'prevent' b'you' b'from' b'being' b'a' b'and'"
37,b'girls' b'in' b'the' b'world' b'sexy' b'mature'
38,"b'user' b'i' b""don't"" b'like' b'the' b'#blacklivesmatter' b'slogan.' b'talk' b'about' b'being'"
39,b'user' b'#feminismiscancer' b'#feminismisterrorism' b'#feminismmuktbharat' b'why' b'#malevote' b'is' b'ignored'
40,"b'fox' b'new' b'just' b'coming' b'out' b'and' b'saying' b'it' b'bluntly.' b'one' b'of' b'the' b'most' b'things' b""i've"""
41,"b'user' b'yes' b'lets' b'do' b'this,suppoing' b'a' b'openly' b',#prowar' b'#anti' b'#islamic,#homophobic,#rapist,who' b'advocates' b'more' b'of'"
42,b'porn' b'vids'
43,b'the' b'latest' b'obsidian' b'radio' b'daily!' b'thanks' b'to' b'user' b'user'
44,b'you' b'might' b'be' b'a' b'libtard'
45,b'just' b'more' b'overwhelming' b'evidence' b'that' b'the' b'company' b'#trump' b'keeps' b'echoes' b'his' b'sentiments' b'&amp;'
46,"b'""nigger?""' b'#lifelessons' b'of' b'a' b'white' b'kid' b'who' b'grew' b'up' b'in' b'the'"
47,"b'carolyn' b'cooper' b'|' b'ugly,' b'poor,' b'ignorant' b'and'"
48,"b'user' b'no,' b'he' b'was' b'definitely' b'a'"
49,b'standing' b'up' b'to' b'racism' b'and' b'hate' b'by' b'americad' b'not' b'curse' b'out' b'congress' b'and' b'all' b'haters' b'who' b'are'
50,"b'user' b'#trump' b'used' b'#hate,' b'and' b'#putin' b'to' b'win' b'the' b'white' b'house' b'#trump' b'presses' b'attack' b'on' b'khan' b'family' b'and' b'g.o.p.'"
51,b'everytime' b'i' b'wear' b'soccer' b'shis' b'joie' b'fries' b'me' b'and' b'says' b'i' b'look' b'mexican' b'as' b'fuck'
52,b'the' b'danger' b'of' b'white' b'liberalism' b'to' b'oveurning' b'(applies' b'to' b'liberal' b'men' b'and' b'feminism'
53,b'great' b'aicle.' b'right' b'on' b'the'
54,b'user' b'thank' b'you!!' b'the' b'power' b'of' b'#social' b'#media!'
55,"b'user' b'and' b'you' b'keep' b'telling' b'that' b'only' b'aryans' b'are' b'allowed' b'to' b'rape' b'women!' b""you're"" b'just' b'a' b'troll!' b'#eod' b'user'"
56,b'user' b'any' b'minute' b'#trump' b'will' b'condemn' b'the' b'#vile' b'#bigoted' b'comments'
57,b'user' b'#allahsoil' b'vps' b'got' b'multi-million' b'dollar' b'bonuses' b'while' b'average' b'americans' b'lost' b'their' b'homes.'
58,b'25' b'jan.' b'interested' b'in' b'how' b'#discrimination' b'and' b'has' b'affected' b'the' b'criminal' b'justice'
59,b'keep' b'up' b'the' b'opposition' b'to'
60,b'i' b'guess' b'user' b'is' b'talking' b'about' b'progress' b'in' b'the' b'advancement' b'of'
61,"b'user' b'jake' b'is' b'right,' b'2' b'many' b'ppl' b'lack' b'the' b'will' b'power' b'to' b'take' b'a' b'stand' b'&amp;' b'drown' b'the' b'small' b'minded' b'&amp;' b'oft' b'evil' b'tendencies' b'of'"
62,"b'user' b'user' b'is' b'it' b'possible' b'for' b'you' b'to' b'speak' b'in' b'any' b'topic' b'without' b'bringing' b'race' b'into' b'it,' b'you' b'bigot?' b'user'"
63,b'#rushlimbaugh' b'does' b'his' b'incredibly' b'obama' b'impression.' b'via'
64,b'black' b'professor' b'makes' b'assumptions' b'about' b'an' b'entire' b'race' b'whilst' b'speaking' b'for' b'entire' b'race.' b'next' b'week' b'the'
65,b'#trumpusa' b'when' b'they' b'call' b'us' b'#homophobic' b'#misogynist' b'they' b'are' b'really' b'saying' b'they' b'are' b'jealous' b'of' b'us'
66,b'i' b'liked' b'a' b'user' b'video' b'from' b'user' b'#sjw' b'retard' b'wants' b'more'
67,b'user' b'msg' b'of' b'#hope' b'for' b'#newyear:' b'a' b'business' b'to' b'end' b'.' b'#endof2016' b'#tedtalks' b'#tedatibm' b'user'
68,b'user' b'non' b'stop' b'election' b'i' b'blame' b'#cspan' b'for' b'hiding' b'for' b'8' b'years' b'2016' b'pittsburgh'
69,"b'#people' b""aren't"" b'protesting' b'#trump' b'because' b'a' b'#republican' b'won-they' b'do' b'so' b'because' b'trump' b'has' b'fuhered'"
70,b'is' b'not' b'an' b'#opinion.' b'racism' b'is' b'#degrading' b'people' b'based' b'on' b'race' b'to' b'justify' b'#discrimination' b'or' b'open' b'#violence' b'against'
71,b'user' b'#allahsoil' b'the' b'next' b'best' b'seller' b'book!' b'#isis' b'#islam' b'#2016in4worlds' b'#2016in4words' b'#terrorists' b'#gwot'
72,"b'user' b""don't"" b'forget,' b'user' b'-' b'research' b'shows' b'that' b'sexist' b'men' b'have' b'psychological'"
73,"b'""no' b'im' b'not' b'attracted' b'to' b'asian' b'ppl' b'bc' b'im' b'not' b'asian""' b'what' b'if' b'i' b'tell' b'you' b'no' b'im' b'not' b'attracted' b'to' b'u' b'bc' b'im' b'not' b'(inse' b'race' b'here)'"
74,b'who' b'defines' b'?:' b'historically' b'#oppressed' b'or'
75,b'the' b'latest' b'the' b'volatile' b'daily!' b'thanks' b'to' b'user' b'user'
76,"b'user' b'radicalism' b""shouldn't"" b'be' b'countered' b'with' b'.' b'terrorists' b'see' b'us' b'as' b'inhumans,' b'but' b'we' b'""the' b'free""' b""can't"" b'judge' b'by'"
77,b'user' b'user' b'but' b'look' b'how' b'passionate' b'they' b'are' b'about' b'#ivankatrump' b'on' b'the' b'plane.' b'which' b'was' b'#fake.' b'yet'
78,b'todays' b'donkey' b'#zionazi' b'is' b'proud' b'of' b'murdering' b'real' b'palestinian' b'semitic' b'children' b'-' b'thats' b'what' b'i'
79,"b'user' b'the' b'fn' b'is' b'seeking' b'to' b'rid' b'of' b'its' b'anti-semitic,' b'xenophobic' b'image,' b'but' b'majority' b'of' b'its' b'sympathisers' b'still' b'describe'"
80,"b'user' b'all' b'happy' b'for' b'\xc3\x83\xc2\xa8' b'#lbgt' b'family,but' b'what' b'i' b""don't"" b'get' b'is' b'the' b'incessant' b'but' b'thin' b'veiled' b'against' b'other' b'gay'"
81,"b'no' b""'racist"" b""intent'?"" b'is' b'this' b'guy' b'joking?' b'via'"
82,"b'how' b""#quebec's"" b'#humanrights' b'&amp;' b'#justice' b'system' b'fail' b'to' b'protect' b'victims' b'of' b'police' b'user'"
83,b'user' b'i' b'would' b'have' b'never' b'guessed' b'i' b'would' b'be' b'so' b'disappointed' b'in' b'a'
84,"b'this' b'how' b'works' b'in' b'uk.' b'if' b""i'd"" b'been' b'white' b'&amp;' b'those' b'politician' b'impoed' b'thieves' b'black,' b""they'd"" b'investigate' b'&amp;' b'prosecute.' b'#returnmyvinyl'"
85,b'the' b'latest' b'the' b'maryland' b'daily!' b'thanks' b'to' b'user'
86,"b'also' b'#keyboard' b'is' b'when' b'i' b'type' b'""cause' b'coopting' b'terrorists""' b'reg' b'syria' b'it' b'autocorrects' b'to' b'""cause' b'colored'"
87,"b'user' b'although,' b'i' b'am' b'not' b'a' b',' b'a' b'#bigot' b'or' b'a' b'#misogynist,' b'so' b'i' b'hope' b'that' b'i' b'still'"
88,b'user' b'what' b'america' b'owes' b'#blacks' b'#africanamerican' b'#reparations'
89,"b'if' b'#potus' b'were' b'white' b""he'd"" b'still' b'be' b'the' b'worst' b'president' b'ever' b'and' b'most' b'likely' b'the' b'most' b'president'"
90,b'decolonizing' b'the' b'curriculum:' b'the' b'only' b'way' b'through' b'the' b'process' b'is' b'together'
91,b'is' b'a' b'very' b'profitable' b'thing'
92,"b'this.' b'#treasonoustrump,' b'unsatisfied' b'with' b'his' b'#whiteisis' b'#terrorism,' b'has' b'moved' b'into' b'nuclear' b'terror' b'in' b'a'"
93,b'yay!' b'except' b'#ellen' b'made' b'comments' b'so' b'should' b'we' b'be' b'suppoing' b'her?' b'if' b'you' b'say' b'#kimburrell' b'made'
94,b'user' b'#newyear!' b'new' b'#prez.' b'new' b'#destruction.' b'new' b'#commercials.' b'new' b'!new' b'order!' b'new' b'tweets.' b'new' b'#poopin.' b'new' b'kids' b'on'
95,"b'user' b'user' b'user' b'because' b'we' b'have' b'been' b""#shuckin'andjivin"" b'for' b'the' b'#democraticpay' b'that' b'only' b'want' b'our'"
96,"b'if' b'you' b""didn't"" b'like' b'or' b'#hitler' b""you're"" b'definitely' b'not' b'going' b'to'"
97,"b'just' b'because' b'you' b'#liberals' b'are' b'self-loathing' b""doesn't"" b'mean' b'the' b'rest' b'of' b'us' b'are.' b'the' b'only' b'weapon' b'you' b'have' b'is' b'to'"
98,b'user' b'buffalo' b'school' b'districts' b'boots' b'trump' b'ally' b'over' b'racist' b'comments.' b'#birdsofafeather' b'#resist'
99,"b'user' b'user' b'dear' b'#versace:' b'wont' b'buy' b'more,' b'if' b'there' b's' b'in' b'yur' b'retail' b'sign,'"
100,b'user' b'pay' b'of' b'#rich' b'#white' b'#snobs' b'via'
101,"b'user' b'ultimately,' b'a' b'#joke' b'from' b'early' b'#2016' b'that' b'i' b'wish' b'i' b""didn't"" b'have' b'to' b'tell.' b'i' b'also' b'wish' b'it' b""didn't"" b'do' b'as' b'well' b'as' b'it'"
102,b'shot' b'inside' b'a' b'pussy' b'office'
103,"b'user' b'do' b'we' b'need' b'a' b'different' b'word' b'altogether' b'that' b'defines' b'""/hatred' b'against' b'whites' b'and/or' b'men"",' b'just' b'to' b'satisfy' b'hateful' b'ppl' b'like'"
104,b'user' b'#feminismiscancer' b'#feminismisterrorism' b'#feminismmuktbharat' b'why' b'#malevote' b'is' b'ignored'
105,b'tyler' b'perry' b'claims' b'\xc3\xa2\xc2\x80\xc2\x98reverse' b'racism\xc3\xa2\xc2\x80\xc2\x99' b'by' b'critics' b'of' b'his' b'tlc'
106,b'smh' b'i' b'cant' b'take' b'these' b'one' b'sided'
107,b'user' b'user' b'1' b'get' b'your' b'own' b'house' b'in' b'order' b'2' b'when' b'you' b'returning' b'stolen'
108,"b'#psa:' b'in' b'the' b'age' b'of' b'information,' b'the' b'true' b'ethnicity' b'of' b'biblical' b'people' b'has' b'caused' b'an' b'overlap' b'of'"
109,"b'user' b'just' b'coz' b'their' b'is' b'a' b'few' b'of' b'these' b'vids,' b'dont' b'mean' b'they' b'are' b'not' b'woh' b'wotching,' b'they' b'are' b'there' b'hilarious,' b'a' b'must'"
110,"b'#sikh' b'#temple' b'vandalised' b'in' b'in' b'#calgary,' b'#wso' b'condemns'"
111,b'user' b'#allahsoil' b'not' b'all' b'muslims' b'hate'
112,"b'user' b'i' b'felt' b'that' b'lawrence' b'fishburn' b'was' b'added' b'as' b'the' b'""magical' b'negro""' b'hollywood' b'stereotypes' b'are' b'made' b'of!'"
113,b'user' b'feds' b'provide' b'inadequate' b'#mentalhealth' b'care' b'for' b'#firstnations:' b'internal'
114,b'user' b'user' b'&amp;' b'the' b'#democraticpay' b'keeps' b'telling' b'me' b'that' b'#blm' b'but' b'i' b'see' b'#chicago' b'#detroit' b'&amp;' b'every'
115,"b'get' b'over' b'it,' b'the' b'world' b'keeps' b'spinning'"
116,b'\xc3\xb0\xc2\x9f\xc2\x8c\xc2\x8e' b'user' b'user' b'own' b'team' b'up' b'with' b'#new' b'#mc' b'user' b'&amp;' b'show' b'what' b'#phillysuppophilly' b'&amp;'
117,"b'if' b'talking' b'about' b'makes' b'racism' b'worst,' b'with' b'that' b'logic' b'talking' b'about' b'how' b'talking' b'about' b'racism' b'makes' b'it' b'worst,' b'makes' b'it'"
118,b'user' b'#allahsoil' b'the' b'problem' b'is' b'that' b'there\xc3\xa2\xc2\x80\xc2\x99s' b'no' b'space' b'for' b'alternative' b'explanations.'
119,b'paul' b'beloy:' b'is' b'still' b'an' b'issue' b'at' b'varying' b'levels' b'in' b'belgian' b'football'
120,"b'#' b'it' b""isn't"" b'to' b'target' b'#illegals' b'and/or' b'#criminals.' b""it's"" b'just' b'plain' b'#commonsense.' b'\xc3\xb0\xc2\x9f\xc2\x98\xc2\x98' b'user' b'user'"
121,b'lying' b'user' b'and' b'his' b'disingenuous' b'excuses' b'for' b'#deviant' b'remarks' b'about' b'michelle'
122,"b'bullshit,' b'he' b'was' b'thrown' b'out' b'for' b'being' b'a'"
123,b'hope' b'to' b'see' b'you' b'at' b'the'
124,b'user' b'you' b'might' b'be' b'a' b'libtard'
125,b'#hillaryclinton' b'calls' b'me' b'#homophobic' b'#misogynist' b'she' b'really' b'means' b'she' b'is' b'jealous' b'user'
126,b'i' b'wanna' b'be' b'fucked' b'!' b'my' b'id' b'13479' b'meet' b'me'
127,"b'user' b'no' b'liberal' b'believes' b'that.' b'we' b'are' b'the' b'pay' b'of' b'inclusivity' b'who' b'believes' b'in' b'equality' b'for' b'all,' b'anywhere.' b'you' b'are' b'a'"
128,"b'this' b'#newyearseve,may' b'our' b'#resolutions' b'b' b'2' b'end' b'problems' b'like' b'&amp;' b'#domesticviolence' b'by' b'turning' b'2' b'god'"
129,"b'#japan' b'abe' b'government' b'is' b'mere' b'puppet' b'of' b'ultra' b'rightist' b'group' b'""\xc3\xa6\xc2\x97\xc2\xa5\xc3\xa6\xc2\x9c\xc2\xac\xc3\xa4\xc2\xbc\xc2\x9a\xc3\xa8\xc2\xad\xc2\xb0(japan'"
130,b'user' b'i' b'thought' b'alt-right' b'secretly' b'meant' b'white'
131,b'user' b'no' b'hitler'
132,b'user' b'homegrown' b'rightie' b'white' b'americans' b'are' b'100' b'times' b'more' b'likely' b'to' b'harm' b'you' b'than' b'a'
133,b'\xc3\xa2\xc2\x80\xc2\xa6you' b'#black' b'&amp;' b'feel' b'like' b'the' b'are' b'stomping' b'on' b'you?'
134,b'you' b'might' b'be' b'a' b'libtard'
135,b'in' b'academia' b'#yehtut' b'offers' b'more' b'nuanced' b'take' b'on' b'#rohingya' b'#dvbmultimediagroup' b'#yehtut' b'is'
136,b'user' b'malia' b'shake' b'that' b'ass!' b'you' b'so' b'fine!.....pass' b'the'
137,b'#gop' b'will' b'fail' b'on' b'anti-morality'
138,"b'if' b'you' b'look' b'at' b'a' b'problem' b'and' b'the' b'first' b'thing' b'you' b'thing' b'of' b'is' b'color,' b'be' b'it' b'black' b'or' b'white.' b""you're"" b'pa' b'of' b'the'"
139,b'names' b'for' b'women' b'fucking' b'hard'
140,b'user' b'i' b'agree' b'that' b'#hrc' b'wouldn\xc3\xa2\xc2\x80\xc2\x99t' b'have' b'won' b'the' b'#popularvote' b'w/o' b'#ca.' b'much' b'in' b'same' b'way' b'#trump' b'wouldn\xc3\xa2\xc2\x80\xc2\x99t' b'win' b'w/o' b'the'
141,b'chick' b'gets' b'fucked' b'nude'
142,b'sex' b'free' b'sex' b'hotline'
143,"b'just' b'some' b'trump' b'suppoers' b'voicing' b'their' b'thoughts' b'on' b""women's"" b'suffrage' b'and' b""germany's"" b'immigration' b'policy...'"
144,b'user' b'riyadh' b'is' b'renowned' b'for' b'some' b'of' b'the' b'deadliest' b'traffic' b'in' b'the' b'world.'
145,b'user' b'why' b'the' b'#electoralcollege' b'elects'
146,"b'user' b'user' b'needs' b'to' b'fire' b'user' b'&amp;' b'the' b'dumb' b'mfer' b'that' b'hired' b'his' b'#genocide' b'promoting' b'ass!' b""don't"" b'hire' b'their'"
147,"b'user' b'""people' b'of' b'colour' b'do' b'not' b'enjoy' b'equality' b'within' b'the' b'#lgbtq' b'community;they' b'are' b'an' b'excluded,marginalised'"
148,"b'user' b'seriously' b'lede.' b'come' b'on,' b'user' b'you' b'can' b'do'"
149,b'user' b'user' b'for' b'hate' b'crimes' b'watch' b'the' b'#arabs' b'in' b'user' b'user' b'never' b'seen' b'so' b'much' b'hate' b'against' b'the' b'poor' b'like' b'in'
150,b'people' b'spit' b'on' b'the' b'face' b'of' b'#god' b'|' b'meditations' b'for' b'the'
151,"b'user' b'user' b'argentine' b'women' b'protest' b""facebook's"" b'sexist' b'censorship' b'rules,' b'eg'"
152,b'what' b'the' b'heck' b'this' b'is' b'so' b'mean!!!' b'please' b'silence'
153,b'user' b'#allahsoil' b'the' b'\xc3\xa2\xc2\x80\xc2\x9ccrusader\xc3\xa2\xc2\x80\xc2\x9d' b'west' b'vs.' b'\xc3\xa2\xc2\x80\xc2\x9cislamic' b'terrorism\xc3\xa2\xc2\x80\xc2\x9d' b'is' b'a' b'popular' b'sequel' b'to' b'capitalism' b'vs.'
154,"b'show' b'me' b'your' b'tits,'"
155,b'this' b'is'
156,b'you' b'might' b'be' b'a' b'libtard'
157,"b'harbaugh' b'had' b'no' b'time' b'for' b'stupid' b'questions' b'about' b'bikinis.' b'thank' b'you,' b'user' b'no' b'time' b'4' b'.' b'via'"
158,b'techjunkiejh:\xc3\xa2\xc2\x80\xc2\x98the' b'daily' b'show\xc3\xa2\xc2\x80\xc2\x99' b'unpacks' b'against' b'#blackwomen' b'and' b'#asianmen' b'on' b'#datingapps'
159,b'sea' b'shepherd' b'suppoers' b'are'
160,b'user' b'proves' b'that' b'small' b'dicks' b'make' b'small'
161,"b'travelled' b'for' b'#canucks' b'game' b'sad' b'and' b'disappointed' b'of' b'#oiler' b'fans' b'the' b'sad' b'i' b""can't"" b'cheer' b'for' b'my' b'own' b'team' b'.' b'user'"
162,"b'if' b'you' b'are' b'one' b'of' b'the' b'64.2' b'mil' b'#americans' b'who' b'rejected' b',' b'#bigotry' b'&amp;amp;' b'#hatred' b'fly' b'your' b'flag' b'half' b'mast' b'on'"
163,"b'user' b'i' b""don't"" b'wish' b'an' b'happy' b'new' b'year' b'to' b'a' b',' b'an' b'#homophobic,' b'a' b'#warmonger,' b'a' b',' b'a' b'#worlddanger' b'like'"
164,b'user' b'user' b'yes' b'disgusting' b'and'
165,b'check' b'out' b'this' b'post!' b'confession:'
166,b'stocking' b'sex' b'sites' b'chick' b'gets'
167,b'fox' b'news' b'anchor' b'tells' b'#laurenduca' b'to' b'\xc3\xa2\xc2\x80\xc2\x9cstick' b'to' b'thigh-high' b'boots\xc3\xa2\xc2\x80\xc2\x9d' b'rather' b'than'
168,"b'user' b'if' b'you' b'are' b'#hispanic' b'#black' b'#asian' b'a' b'non-racist' b'white,' b'other' b'minority' b""don't"" b'serve' b'in' b'military' b'while' b'in'"
169,b'are' b'you' b'#hispanic' b'&amp;' b'\xc3\xa2\xc2\x80\xc2\xa6' b'like' b'the' b'are' b'stomping' b'on' b'you?'
170,"b'this' b'much' b'#hatred,' b'#xenophobia,' b'#islamophobia,' b'#antisemitism,' b'and' b'#war' b'was' b""'too"" b""much'"" b'for' b'2016.' b""let's"" b'hope' b'#2017' b'will' b'get' b'less'"
171,b'chick' b'gets' b'fucked' b'videos' b'of' b'big' b'asses' b'havin'
172,b'sea' b'shepherd' b'suppoers' b'are'
173,b'user' b'most' b'problems' b'can' b'be' b'solved' b'by' b'talking' b'to' b'each' b'other' b'instead' b'of' b'about' b'each'
174,b'\xc3\xa2\xc2\x80\xc2\xa6and' b'even' b'#santa' b'was' b'afraid...' b'of' b'#obama' b'&amp;' b'#soros' b'groups' b'that' b'threaten' b'public' b'safety' b'&amp;'
175,b'user' b'#allahsoil' b'the' b'revolution' b'occurred\xc3\xa2\xc2\x80\xc2\x95just' b'not' b'how' b'marx' b'expected' b'it' b'to.'
176,b'is' b'the' b'dictionary' b'word' b'for'
177,b'user' b'if' b'i' b'cud' b'this' b'1000x' b'i'
178,b'user' b'donkey' b'#zionazis' b'proud' b'of' b'murdering' b'real' b'palestinian' b'semitic' b'children' b'-' b'thats' b'what' b'i'
179,"b'user' b'if' b""i'd"" b'posted' b'your' b'flag' b'logo' b'in' b'2008' b""i'd"" b'have' b'been' b'called' b'.' b'forced' b'to' b'bake' b'a' b'cake.' b'same' b'for' b'dancers.' b'elitist'"
180,"b'it' b'does' b'not' b'help' b'when' b'a' b'person' b'comments' b'""i' b""don't"" b'like' b'obama,' b'but' b""you're"" b'out' b'of' b'line!""' b'like' b'duh' b'mf,' b'you' b'knew' b'you' b'were' b'voting' b'same'"
181,"b'user' b'trophy.' b'i' b'have' b'always' b'been' b'one.' b'by' b'user' b'""educate'"
182,"b'a' b'#dystopian' b'tale' b'of' b',' b'#radicalisation' b'&amp;' b'#revenge' b'#preorder'"
183,"b'user' b'#fascism' b""doesn't"" b'arrive' b'doing' b'a' b'#nazi' b'salut.but' b'in' b'a' b'sharp'"
184,b'user' b'and' b'it' b'leads' b'to' b'more'
185,b'how' b'#trump' b'is' b'viewed' b'by' b'women!' b'explained'
186,b'user' b'has' b'happened' b'far' b'too' b'often'
187,b'happy'
188,"b'""the' b'education' b'of' b'public' b'servants' b'is' b'a' b'critical' b'pa' b'of' b'the' b'path' b'forward...""' b'so'"
189,b'only' b'a' b'#bigoted' b'person' b'would' b'tweet' b'me.' b'calling' b'me' b'names' b'for' b'telling' b'the'
190,"b'user' b'you' b'suppo' b'hrc,' b'who' b'was' b'funded' b'by' b'saudi' b'woman-degrading' b'pigs.' b'you' b'suppo' b'women' b'not' b'driving' b'and' b'covering' b'their'"
191,b'the' b'holidays' b'will' b'be' b'better' b'than' b'ever' b'now' b'marijuana' b'unleashed' b'is' b'at'
192,b'you' b'might' b'be' b'a' b'libtard'
193,b'multiple' b'types' b'of' b'racism' b'in'
194,"b'user' b'disgusting' b'racist' b'thugs,' b'look' b'forward' b'to' b'him' b'going' b'back' b'to'"
195,"b'user' b'user' b'the' b'correct' b'way' b'it' b'should' b'have' b'been' b'written!!!' b""doesn't"" b'matter' b'her' b'profession!!!' b'is' b'clearly' b'still' b'a'"
196,b'girl' b'get' b'fuck' b'leg'
197,"b'and' b'there' b'you' b'have' b'it' b'folx.' b'the' b'numbers' b""don't"" b'lie.' b'#americans' b'are' b'mostly'"
198,b'how' b'the' b'#altright' b'uses' b'&amp;' b'insecurity' b'to' b'lure' b'men'
199,b'\xc3\xb0\xc2\x9f\xc2\x8c\xc2\x8e' b'user' b'user' b'own' b'team' b'up' b'with' b'#new' b'#mc' b'user' b'&amp;' b'show' b'what' b'#phillysuppophilly' b'&amp;'
200,b'#democrat' b'pay' b'has' b'alway' b'been' b'the' b'pay' b'of' b'before' b'it' b'was' b'black' b'inferior' b'to' b'whites.' b'now' b'whites' b'are' b'inferior' b'to'
201,b'how' b'far' b'is' b'#europe' b'swinging' b'to' b'the' b'right?'
202,b'user' b'why' b'is' b'4' b'whores' b'on' b'ring' b'of' b'fire'
203,b'#aloha' b'and' b'\xc3\xa2\xc2\x98\xc2\xae\xc3\xaf\xc2\xb8\xc2\x8f' b'on' b'\xc3\xb0\xc2\x9f\xc2\x8c\xc2\x8f' b'we' b'oppose' b'#fascism' b'and'
204,b'sea' b'shepherd' b'suppoers' b'are'
205,b'dear' b'#theresamay.' b'#brexit' b'is' b'&amp;' b'lies.' b'#remainers' b'should' b'never' b'unite' b'with' b'leavers.' b'have' b'a' b'shit' b'christmas'
206,b'#nyc\xc3\x82' b'#assault' b'\xc3\x82' b'#womenonly' b'#forher' b'#2017' b'#newyears' b'#resolution' b'#womenissues\xc3\x82' b'-' b'self' b'defense' b'for' b'women'
207,b'#texas' b'the' b'principal' b'resigned!' b'#justicereform' b'the' b'politicians' b'are' b'corrupt.' b'that' b'means' b'the' b'judges' b'are'
