,tweet
27,"b'ramboutit:' b'&#8220' b'master11_:' b'20tolife_' b'ramboutit' b'hoes' b'austin&#8221;' b'teach' b'us' b'austin.""i' b'teach' b'u' b'how' b'to' b'get' b'curved?' b""that's"" b'all' b'i'"
28,"b'sportscenter:' b'eli' b'manning' b'just' b'threw' b'his' b'nfl-leading' b'27th' b'interception' b'of' b'the' b'season.""' b'lmao'"
29,"b'sportscenter:' b'usc' b'senior' b'rb' b'anthony' b'brown' b'calls' b'head' b'coach' b'steve' b'sarkisian' b'a' b'racist' b'and' b'quits' b'team.' b'&#187;' b""he's"" b'a'"
30,b'stephenwildboy:' b'chilling' b'&#128069;&#8482;' b'sexy' b'scally'
31,"b'tee_jonez:' b'16stanleys' b'kingcuh' b'tuku' b'ho' b'idk' b'blah' b'blah' b'blah""'"
32,"b'tee_jonez:' b'kingcuh' b'16stanleys' b""i'm"" b'not' b'mad' b'cuh' b'hahaha""' b'suure..' b'tuku' b'ho' b'ita!'"
33,b'theo17100:' b'this' b'scally' b'lad' b'would' b'get'
34,"b'uberfacts:' b'15' b'sad' b'tv' b'character' b'deaths' b""we're"" b'still' b'bitter' b'over...' b'stark' b'was' b'the'"
35,"b'wbur:' b'a' b'smuggler' b'explains' b'how' b'he' b'helped' b'fighters' b'along' b'the' b'""jihadi'"
36,"b'yankees:' b'down' b'6-1,' b'#yankees' b'look' b'to' b'rally' b'in' b'the' b'bottom' b'of' b'the'"
37,b'ayyee_ceee_:' b'one' b'mans' b'trash' b'&#128686;' b'is' b'another' b'mans' b'treasure'
38,b'complex_uk:' b'ashley' b'young' b'has' b'tried' b'to' b'deny' b'that' b'bird' b's***' b'landed' b'in' b'his' b'mouth' b'---&gt;'
39,b'deepthroatmike:' b'boys_south:' b'take' b'me' b'for' b'a' b'ride' b'&#128525;&#128139;' b'woof'
40,"b'g0rillaz0e:' b'sitting' b'on' b'my' b'window' b'sill,' b'window' b'open,' b'bird' b'tries' b'to' b'fly' b'in.' b'smacked' b'it.' b'#protecttheanimals""'"
41,b'greggutfeld:' b'a' b'video' b'an' b'entire' b'media' b'will' b'likely' b'mock.' b'i' b'am' b'such' b'a'
42,b'hxhassan:' b'jihadi' b'patron' b'hajjaj' b'al-ajmi' b'is' b'arrested' b'at' b'kuwait'
43,b'itrapwatermelon:' b'tweety' b'bird' b'tho'
44,b'itscoleharmon_:' b'when' b'twitter' b'rappers' b'dm' b'me' b'their' b'trash'
45,b'jethromass:' b'photo:' b'he' b'is' b'in' b'sole'
46,"b'kazooook:' b'we' b'actin' b'like' b""it's"" b'the' b'7th' b'day'"
47,"b'metroadlib:' b'colored' b'contacts' b'in' b'your' b'eyes?' b'blinders' b'on' b'mine.' b'cause' b'i' b""can't"" b'see' b'you' b'at' b'all.""'"
48,"b'nohands_24:' b'20tolife_:' b'nohands_24:' b'dejaaleeann_:' b'b_coleman2' b'swears' b""i'm"" b'#1' b'man""' b'easily""' b'easily""' b'behind' b'austin""'"
49,b'oldpicsarchive:' b'h.g.wells' b'and' b'charlie'
50,"b'rhythmixx_:' b'i' b'told' b'mariam' b'to' b'but' b'cigarettes' b'for' b'her' b'birthday""' b'you' b'also' b'called' b'me' b'trash'"
51,"b'riananewman:' b'22edham' b'brownies' b'tonight""' b'what'"
52,b'rugbysocklad:' b'fit' b'lads!' b'nice' b'gear!' b'these' b'scally' b'lads' b'n' b'trainers' b'would' b'get'
53,"b'sleepy_yongguk:' b'""i' b'saw' b'an' b'ajumma' b'walk' b'out' b'in' b'the' b'beginning' b'saying,' b""'wow,"" b'this' b'is' b'so' b'trash' b'that' b'i' b""can't"" b'even' b'listen' b'to' b'it..\'""' b'&#128514;""'"
54,b'socass_:' b'dude' b'remember' b'this' b'wop' b'video?' b'00sexilexi00' b'omg' b'where' b'did' b'you' b'find'
55,"b'soxdawg:' b'rawr!!' b'rt' b'skinrubberboi:' b'""my""' b'sexy' b'french' b'scally.' b'i' b'love' b'him!' b'#frenchscally' b'sexy' b'scally' b'woof'"
56,b'worldtraveis:' b'baby' b'albino' b'&#128034;'
57,"b'""bae""' b'sounds' b'like' b'such' b'a' b'ghetto' b'word.' b'use' b'something'"
58,"b'""brownies' b'for' b'my' b'brownie""' b'i' b'love' b'this' b'movie.'"
59,"b'""chinese' b'maverick:' b'we' b'were' b'communicating' b'comrade' b',' b'u' b'know' b'giving' b'the' b'imperialist' b'yanks' b'the'"
60,"b'""generate' b'ascii' b'boxes' b'with' b'nodejs""' b'all' b'i' b'see' b'is' b'the' b'ability' b'to' b'bring' b'flappy-bird' b'in' b'node' b'via' b'ascii' b'tubes' b'and' b'bird'"
61,"b'""how' b'about' b'we' b'draft' b'all' b'those' b'gung-ho' b'folks' b'and' b'send' b'them' b'to' b'afghanistan' b'or' b'other' b'war' b'zones' b'so' b'they' b'can' b'show'"
62,"b'""i' b'am' b'a' b'thrill' b'billy..with' b'a' b'hillbilly' b'heart.""' b'billyraycyrus.' b'hahahahaha' b'jesus'"
63,"b'""i' b'found' b'a' b'new' b'way' b'to' b'chug' b'you' b'have' b'to' b'open' b'your' b'mouth'"
64,"b'""i\'ll' b'slit' b'your'"
65,"b'""is' b'that' b'an' b'albino' b'mexican?""' b'""no' b'dad,' b""he's"""
66,"b'""just' b'follow' b'the' b'yellow' b'brick'"
67,"b'""lol,' b'cripple!""' b'-' b'wendy' b'davis.' b'rt' b'mailonline:' b'scientists' b'create' b'remote-controlled' b'chick' b'to' b'study' b'shy'"
68,"b'""mam,' b'ren&#233;e' b'doet' b'in' b'haar' b'rol' b'net' b'of' b'ze' b'ongesteld' b'is' b'wat' b'is' b'ongesteld?""' b'van' b'dat' b'soort' b'vragen' b'waar' b'je' b'denkt:' b'hoe' b'leg' b'ik' b'die' b'weer'"
69,"b'""mine' b'plays' b'dmx' b'and' b'kirk' b'franklin' b'smh' b'_justcallmebrit:' b'well' b'my' b'neighbors' b'are' b'ghetto' b'.' b'they' b'get' b'up' b'at' b'like' b'5am' b'and' b'beat' b'their'"
70,"b'""ovo""' b'&#8220' b'allthingsfresh3:' b'&amp;' b'kendrick' b'lamar' b'still'"
71,"b'""only' b'a' b'couple' b'of' b'red' b'sox' b'have' b'gotten' b'past' b'first' b'base.""' b""i'm"" b'dying' b'laughing.' b'maybe' b'the' b'yanks' b'need' b'to' b'teach' b'them' b'some'"
72,"b'""the' b'devil' b'grows' b'inside' b'the' b'hearts' b'of' b'the' b'selfish' b'and' b'wicked' b'white,' b'brown,' b'yellow' b'and' b'black' b'color' b'is' b'not'"
73,"b'""the' b'water' b""isn't"" b'yellow,' b""i'm"" b'a' b'healthy'"
74,"b'""they' b'have' b'to.' b'that' b'division' b'is' b'trash' b'nomeek_justmilz:' b'saints' b'gon' b'win' b'the' b'nfc'"
75,"b'""this' b'recipe' b'calls' b'for' b'a' b'leftover' b'brownie.' b'what' b'the' b'hell' b'is' b'a' b'leftover' b'brownie?' b""that's"" b'just' b'a' b'brownie' b'you' b""haven't"" b'eaten' b'yet.""'"
76,"b'""two' b'roads' b'diverged' b'in' b'a' b'yellow' b'wood,' b'and' b'i' b'chose' b'the' b'one' b'to' b'j&#246;tunheimr""' b'-' b'robert' b'frost'"
77,"b'""yah""' b'has' b'said' b'in' b'his' b'word' b'that' b'the' b""mtzra'ym(egyptians)"" b'are' b'his' b'people' b'and' b""ysrah'al"" b'is' b'his' b'inheritance' b'and' b'the'"
78,"b'""yaoooooooo' b'yea_im_jamaican:' b'mawnin' b'yardies!'"
79,"b'""you' b'hit' b'no' b'lights,' b'no' b'line' b'for' b'toco' b'bell' b'at' b'2' b'in' b'he' b'morning,' b'and' b""diana's"" b'back' b'in' b'her' b'house.' b""it's"" b'a' b'miracle""' b'-' b'charlie'"
80,"b'""you' b'look' b'like' b'little' b'birds' b'help' b'you' b'get' b'dressed' b'in' b'the'"
81,"b'""your' b'teeth' b'are' b'like' b'the' b'stars.""' b'""aww' b'thanks!""' b'""yeah...' b'yellow' b'and' b'far' b'away' b'from' b'each'"
82,"b'""hick' b'and' b'raver' b'is' b'a' b'venn' b'diagram' b'that' b'has' b'a' b'very' b'large'"
83,"b'""when' b'rappers' b'say' b'twat' b'it' b'makes' b'me' b'feel' b'weird""'"
84,b'#2013faves' b'rt' b'&#8220' b'grahamorama:' b'#snoop' b'and' b'#justin' b'are' b'having' b'so' b'much' b'fun' b'at' b'this' b'charlie' b'wilson'
85,"b'#askdems' b""aren't"" b'you' b'embarrassed' b'that' b'charlie' b'rangel' b'remains' b'in' b'your'"
86,"b'#breaking:' b'ap' b'calls' b'mass.' b'governor' b'race' b'for' b'charlie' b'baker.' b'watch' b'live' b'coverage' b'on' b'wcvb,' b'streaming'"
87,"b'#bigbird' b'was' b'made' b'by' b'a' b'gay' b'couple.' b'so' b'yes,' b'under' b'a' b'gop' b'world' b'the' b'bird' b'would' b'not' b'have' b'existed' b'since' b'its' b'creators' b'would' b'be' b'in' b'jail' b'for'"
88,"b'#blessjesus' b'amos' b'3:3' b'-' b'can' b'two' b'walk' b'together,' b'except' b'they' b'be'"
89,b'#blessjesus' b'amos' b'5:10' b'there' b'are' b'those' b'who' b'hate' b'the' b'one' b'who' b'upholds' b'justice' b'in' b'court' b'and' b'detest' b'the' b'one' b'who' b'tells' b'the'
90,b'#blessjesus' b'the' b'#crown' b'of' b'his' b'head' b'to' b'the' b'sole' b'of' b'his'
91,b'#blessjesusair' b'matthew' b'6:26' b'look' b'at' b'the' b'birds' b'of' b'the' b'air..' b'and' b'yet' b'your' b'heavenly' b'father' b'feeds' b'them.are' b'you' b'not' b'much' b'more' b'valuable' b'than'
92,b'#blessjesuslove' b'happy' b'belated' b'(' b'sixty-fifth)' b'65' b'birthday' b'*28' b'aunt' b'mary'
93,b'#commonquestioniget' b'why' b'uou' b'so'
94,"b'#degenerateartist' b'sniffs' b'whiffy' b'balls' b'involuntary,' b'cuz' b'a' b'fairy' b'walks' b'downtown' b'hairy,' b'#climatechange' b'all' b'our' b'scary' b'sense' b'of' b'hillbilly'"
95,"b'#derekjeter' b'as' b'a' b'lifelong' b'#yankees' b'man,' b'i' b'will' b'miss'"
96,b'#earlybird' b'#early' b'#morning' b'#sunrise' b'#dawn' b'#bird' b'#thebird' b'#jerryreed' b'kansas'
97,"b'#ebola' b'great' b'and' b'i' b'thought' b'the' b'panic' b'from' b'bird' b'flu' b'was' b'bad.' b'i' b'really' b""ain't"" b'got' b'time' b'for'"
98,b'#ebola' b'is' b'a' b'great' b'metaphor' b'for' b'how' b'#gop' b'#teaparty' b'policies' b'eat' b'off' b'of' b'vital' b'organs' b'until' b'the' b'host'
99,b'#explainananimeplotbadly' b'boy' b'with' b'a' b'monkey' b'tail' b'grows' b'up' b'to' b'the' b'the' b'savior' b'of' b'a' b'futuristic' b'yet' b'old'
100,"b'#femalelogic' b'is' b'worse' b'than' b'the' b'jig,' b""i'm"""
101,b'#firecashman' b'why??' b'because' b'i' b'am' b'having' b'to' b'root' b'for' b'the' b'royals' b'in'
102,"b'#glory' b'isaiah' b'mom' b'asked' b'me' b'if' b'i' b'wanted' b'a' b'brownie' b'i' b'said,' b'no' b'thanks' b'she' b'said' b'what' b'are'"
103,b'#holidayseasonlive' b'shyglizzy' b'plies' b'shy' b'glizzy' b'feat' b'plies' b'-' b'free' b'tha'
104,"b'#happycolumbusday' b'!!!!' b'if' b'is' b""wasn't"" b'for' b'#america.................#karlmarx' b'would' b'never' b'have' b'thought' b'of' b'sharing' b'#colonialism' b'with' b'#injuns'"
105,b'#happycolumbusday' b'.....hate' b'to' b'sound' b'all' b'#peta' b'callous' b'and' b'all........but' b'#buffalo' b'had' b'it' b'a' b'lot' b'worse' b'than'
106,b'#hellyeah' b'rt' b'bacongawd' b'#no' b'rt' b'huffingtonpost' b'happy' b'fall!' b'pumpkin' b'spice' b'oreos' b'are'
107,"b'#hellobrookland!' b""we're"" b'here' b'at' b'the' b'monroestmarket' b'opening!' b'serving' b'free' b'samples' b'of' b'cider,' b'vegan' b'sliders,'"
108,"b'#holyspirit' b'joshua' b'1:3' b'every' b'place' b'that' b'the' b'sole' b'of' b'your' b'foot' b'shall' b'tread' b'upon,' b'that' b'have' b'i' b'given' b'unto' b'you,' b'as' b'i' b'said' b'unto'"
109,b'#iu' b'8' b'straight' b'nation' b'#college' b'soccer' b'champions!' b'wow!' b'#hoosiernation' b'#hoosiers'
110,"b'#iu' b'should' b'make' b'me' b'an' b'honorary' b'student,' b'id' b'be' b'way' b'cooler' b'than' b'the' b'other' b'international' b'students.' b'i' b'have' b'my' b'own' b'football'"
111,"b'#indigenouspeoplesday' b'.........right.' b'because' b'these' b'#redskins' b'had' b'a' b'lot' b'of' b'#queens,' b'right?'"
112,"b'#iraq' b'gov' b'troops' b'were' b'handed' b'a' b'severe' b'defeat' b'by' b'#isis' b'at' b'saqlawiya' b'--' b""there's"" b'chatter' b'of' b'over' b'300' b'soldiers' b'lost' b'&amp;' b'jihadis' b'raving' b'about'"
113,"b'#np' b'""centuries""'"
114,"b'#natitude?' b'okay.' b""i'm"" b'only' b'going' b'to' b'say' b'it' b'once.' b'comb' b'yer'"
115,b'#nowplaying' b':' b'bt' b'feat.' b'tori' b'amos' b'-' b'blue' b'skies' b'(radio' b'edit)' b'on' b'#1069thearrow'
116,b'#nowplaying' b':' b'great' b'white' b'-' b'once' b'bitten' b'twice' b'shy' b'on' b'#1069thearrow'
117,b'#nowplaying' b':' b'ian' b'hunter' b'-' b'once' b'bitten' b'twice' b'shy' b'on' b'#1069thearrow'
118,b'#nowplaying' b':' b'the' b'doors' b'-' b'the' b'wasp' b'(texas' b'radio' b'and' b'the' b'big' b'beat)' b'on' b'#1069thearrow'
119,b'#pdplive' b'is' b'on' b'november' b'10th.' b'get' b'your' b'early' b'bird' b'tickets' b'from'
120,b'#pacernation' b'4/4' b'on' b'the' b'road!' b'perfect' b'way' b'to' b'continue' b'after' b'#iubb' b'have'
121,"b'#radiofreenorthwest' b'218' b'covington' b'reads' b'responses' b'&amp;' b'mocks' b'fbi,' b'andy' b'on' b'real' b'politics,' b'liv' b'on' b'her' b'awakening,'"
122,"b'#redsox,' b'focus' b'on' b'the' b'#orioles' b'that' b'knocked' b'you' b'out' b'last' b'year,' b'and' b'not' b'your' b'hatred' b'of' b'the' b'#yankees' b'for' b'um-teen' b'years!'"
123,"b'#royals' b'2-1!!' b'fantastic.' b'ready' b'for' b""tomorrow's"" b'sweep' b'of' b'the' b'disposed' b""o's."" b'#yankees' b'4ever' b'except' b'this'"
124,"b'#royals' b'milwaukee' b'let' b'yost' b'go.now' b'they' b'wished' b'they' b""hadn't"" b'cause' b'they' b'suck.how' b'about' b""now.he's"" b'the' b'guy' b'win' b'or' b'lose.' b'yankees' b'fire' b'girardi'"
125,b'#ruinacomedian' b'midnight' b'charlie'
126,b'#skating' b'is' b'for'
127,b'#stopwhitepeople' b'rt' b'abc7:' b'9' b'cases' b'of' b'west' b'nile' b'virus' b'infections' b'reported' b'in' b'orange' b'county' b'this' b'year;' b'105' b'dead' b'birds' b'found' b'carrying'
128,b'#tbt' b'love' b'you' b'forever' b'ling' b'ling' b'&#128115;&#128114;&#128152;'
129,b'#theboondocks' b'at' b'10:30' b'my'
130,b'#truth' b'rt' b'notashley:' b'david' b'is' b'the' b'charlie' b'brown'
131,b'#wearerepublicnotregime' b'#potus' b'bo' b'violated' b'usa' b'sovereignty' b'w/open'
132,b'#whatimcraving' b'peanut' b'butter' b'oreos'
133,b'#worldseriesgame3' b'hunter' b'pence' b'is' b'so' b'annoying' b'he' b'should' b'be' b'a' b'red' b'sox' b'player.' b'shave' b'fool' b'and' b'take' b'your' b'vyvanse&#9918;&#65039;&#9918;&#65039;&#128074;&#128074;#yankees'
134,
135,"b'#yankees' b'#firecashman' b'i' b""don't"" b'want' b'arod'"
136,"b'#yankees' b'#jeter' b'let' b'him' b'play' b'the' b'entire' b'inning.' b""that's"""
137,b'#yankees' b'#sec' b'robertson' b'in.' b'guy' b'is' b'fantastic.' b'sec'
138,"b'#yankees' b'3,' b'#astros' b'0:' b'mccarthy' b'outduels' b'keuchel' b'in' b'series'"
139,b'#yankees' b'6-0.' b'nine' b'straight' b'hits.' b'price...' b'not' b'your'
140,"b'#yankees' b'damn' b'you' b'directtv' b'blackout' b'the' b'yankee' b'game.' b'with' b'a' b'freaking' b'walk' b'off!' b""you're"" b'killing' b'me' b'satellite'"
141,b'#yankees' b'damn.' b'well' b'joe' b'that' b'move' b'to' b'the' b'bullpen' b'really'
142,"b'#yankees' b'i' b""ain't"" b'complaining' b'about' b'the' b'royals' b'win' b'or' b'lose' b'game7.' b'they' b'showed' b'heart.' b'al' b'ride' b'or' b'die!' b'no' b'flex' b'zone.' b'they' b'earned'"
143,"b'#yankees' b'i' b'went' b'to' b'golds' b'with' b'cruz' b'in' b'2010' b'when' b'he' b'was' b'a' b'sound.' b'no' b'upper' b'/lower' b'body' b'strength..' b'hmm' b'now' b'40' b'hr' b'hitter.' b""won't"" b'say' b'the' b's'"
144,b'#yankees' b'if' b'royals' b'have' b'a' b'fire' b'sale.' b'i' b'want' b'the' b'whole' b'team!!' b'leave' b'gardner' b'and' b'tanaka.' b'the' b'rest' b'can' b'please' b'go.' b'along' b'with' b'joe' b'and'
145,b'#yankees' b'nice' b'bounce' b'back' b'michael' b'kay.' b'gotta' b'keep' b'this'
146,"b'#yankees' b'pineda' b'needed' b'that' b""6'7."" b'great'"
147,"b'#yankees' b'primo!' b'just' b'got' b'home' b'and' b'the' b'tanks' b'are' b'on' b'mlb.' b'finally!' b'and' b'they' b'are' b'winning!' b'even' b'better.' b'time' b'to' b'get' b'serious,' b'sept' b'call' b'up'"
148,b'#yankees' b'got' b'beaten' b'by' b'a'
149,"b'#yankees' b'take' b'all' b'three' b'games' b'in' b'motown,' b""i'm"" b""callin'"""
150,"b'#yankees' b'wasted' b""nu&#241;ez's"""
151,b'#drunk' b'#trash' b'#trashed' b'#wasted' b'the' b'draught'
152,b'#foxnews' b'cuts' b'away' b'when' b'a' b'democrat' b'talks' b'and' b'claim' b'to' b'be' b'fair' b'and' b'balanced.' b'lmao' b'network' b'full' b'of' b'#teabaggers' b'and'
153,b'#gouache' b'#inktober' b'#oldpainting' b'#mt' b'#tiki' b'#wahine' b'#surf' b'#monkey' b'#bright' b'#happysunday' b'#peace'
154,"b'#hoosier' b'fans,' b'is' b'cody' b'zeller' b'nominating' b'for' b'this' b'years' b'#nba'"
155,"b'#inners' b'still' b'hanging' b'in.' b'#yankees' b'we' b'need' b'this' b'win.' b'nfl.' b""it's"" b'not'"
156,b'#iubb' b'#1' b'suiting' b'up' b'again'
157,"b'#metal' b'only,'"
158,b'#mt'
159,b'#np' b'shy' b'glizzy' b'-' b'awwsome' b'(remix)' b'(feat.' b'2' b'chainz' b'&amp;' b'a$ap' b'rocky)' b'via'
160,b'#philhughes' b'yankees' b'#nyy' b'better' b'then' b'ur' b'whole'
161,"b'#porn,#android,#iphone,#ipad,#sex,#xxx,' b'|' b'#desi' b'|'"
162,"b'#porn,#android,#iphone,#ipad,#sex,#xxx,' b'|' b'#teen' b'|' b'cutie' b'lesbian' b'teens' b'toy'"
163,b'#portlandia' b'#putabirdonit' b'rt' b'mightymouse105:' b'the' b'xbox' b'one' b'would' b'be' b'so' b'much' b'cooler' b'if' b'they' b'put' b'a' b'bird' b'on'
164,b'#redneck' b'tow'
165,"b'#rejectedpeanutsspecials' b'its' b'the' b'grape' b'crackhead,' b'charlie'"
166,"b'#southcarolina' b'has' b'a' b'highschool' b'graduation' b'rate' b'near' b'50%' b'and' b""that's"" b'why' b'they' b'have' b'so' b'many'"
167,b'#stateoftheunion' b'would' b'last' b'15mins' b'if' b'they' b'let' b'the' b'president' b'talk' b'all' b'that' b'standing' b'up' b'clapping' b'is' b'for' b'the'
168,b'#tbt' b'my' b'precious' b'gook' b'baby' b'&#128525;&#128525;&#128525;&#128525;&#128525;&#128525;'
169,b'#tbt' b'when' b'i' b'took' b'my' b'likkle' b'monkey'
170,"b'#teabagger' b'state' b'like' b'mississippi' b'opposed' b'to' b'minimum' b'wage,' b'child' b'labor' b'laws,' b'unions,' b'is' b'pro-scab,' b'sweatshop' b'work' b'-' b'pretty'"
171,b'#tikiti' b'-' b'rough' b'mock' b'for' b'the' b'base' b'of' b'what' b'will' b'eventually' b'be' b'an' b'ashtray' b'tiki'
172,b'#uppers' b'loving' b'the' b'show' b'this' b'morning.' b'chris' b'is' b'directing' b'the' b'conversation' b'beautifully.' b'make' b'the' b'teabaggers'
173,"b'&#127813;&#127813;&#127813;' b'rt' b'gottliebshow:' b'""killer' b'line?""' b'sbnationnba:' b'josh' b'smith' b'dropped' b'a' b'killer' b'trash' b'talk' b'line' b'on'"
174,b'&#127867;&#127867;&#127867;&#127804;&#128153;&#127913;' b'plus' b'sheryl'
175,b'&#128027;=&#128176;&#128184;' b'&#8220' b'goalsminded:' b'its' b'true' b'that' b'the' b'early' b'bird..' b'gets' b'the' b'worm'
176,b'&#128075;'
177,b'&#128514;&#128514;' b'maaaaannnn' b'i' b'hope' b'so!' b'rt' b'abrown252:' b'vonshayeb' b'did' b'we' b'get' b'rid' b'of' b'john' b'legend' b'looking' b'charlie'
178,b'&#128514;&#128514;' b'mike' b'calls' b'me' b't-bird'
179,"b'&#128520;&#127383;' b'we' b'snap' b'chatted' b'for' b'one' b'night' b'lol.' b'but' b""you're"" b'cute.' b'snapchat' b'me' b'back'"
180,b'&#128525;&#128525;&#128525;' b'&#8220' b'whatskillfeed:' b'i' b'guess' b'ill' b'just' b'trash' b'this' b'drawing' b'because' b'of' b'roster'
181,b'&#128530;' b'my' b'nerves' b'are' b'being' b'worked' b'cos' b'of' b'my' b'monkey'
182,b'&#128553;' b'monkey'
183,b'&#128557;&#128557;&#128557;&#128530;' b'rt' b'kinghov1313:' b'at' b'work' b'imma' b'real' b'uncle'
184,b'&#193;lbum' b'de' b'fotos:' b'csitaly:' b'[ts3]fairy' b'tail' b'-' b'satan' b'soul' b'mirajane' b'strauss' b'made' b'with' b'the' b'sims' b'3.'
185,b'&#8216;chillin&#8217;' b'with' b'my' b'homie' b'or' b'what&#8217;s' b'left' b'of' b'him&#8217;:' b'british' b'rapper' b'turned' b'isis' b'jihadi' b'poses' b'with' b'severed'
186,b'&#8220' b'atrue_cowboy:' b'truth' b'about' b'any' b'distance' b'for' b'all' b'you' b'love' b'birds' b'out'
187,"b'&#8220' b'a_brown_30:' b'frogger,' b'best' b'game' b'ever&#8221;' b'only' b'cuz' b'you' b'suck' b'at' b'flappy'"
188,"b'&#8220' b'abstractlife:' b'nigeldixon1' b'seantharrington' b'orton' b'is' b'trash' b'idc&#8221;' b'he' b""ain't"" b'been' b'playing.' b'trashlex' b'smith' b'only' b'sat' b'out' b'kaep' b'took' b'his'"
189,b'&#8220' b'adderallhadme:' b'adderall' b'had' b'me' b'killing' b'two' b'birds' b'with' b'one'
190,b'&#8220' b'amburger_6:' b'wtf' b'is' b'flappy' b'bird&#8221;' b'are' b'you' b'kidding'
191,b'&#8220' b'antiglib:' b'rt' b'nateyfu123:' b'#yankees' b'michael' b'pineda' b'in' b'his' b'next' b'start..'
192,"b'&#8220' b'ashlynwynns:' b""i'm"" b'a' b'""mud' b'shark""' b'because' b'i' b'have' b'black' b'friends.' b'makes' b'perfect' b'sense.'"
193,b'&#8220' b'ashton5sos:' b'an' b'itsy' b'bitsy' b'teeny' b'weeny' b'yellow' b'pock-a-dot' b'bikini&#8221;' b'polk' b'ashton.'
